golang-golang-x-image 0.0.20191214-2
golang-golang-x-net 0.0.20220826-1
golang-golang-x-sys 0.0.20230208-1
golang-golang-x-term 0.0.20220722-1
golang-golang-x-text 0.3.3-2
golang-golang-x-tools 0.0.20191225-2
golang-gopkg-yaml.v3 3.0.1-1
gom 0.4-7
goocanvas 3.0.0-4
gparted 1.5.0-1
gperftools 2.13-2
gpgme 1.23.1-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
granite 6.2.0-2
graphene 1.10.8-1
graphicsmagick 1.3.42-1
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
groff 1.23.0-5
grub 2:2.12rc1-5
gscan2pdf 2.13.2-1
gsettings-desktop-schemas 45.0-1
gsettings-qt 0.2-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-1
gssdp 1.6.3-1
gst-editing-services 1.22.7-1
gst-plugin-gtk 1.22.7-1
gst-plugins-bad 1.22.7-1
gst-plugins-bad-libs 1.22.7-1
gst-plugins-base 1.22.7-1
gst-plugins-base-libs 1.22.7-1
gst-plugins-good 1.22.7-1
gstreamer 1.22.7-1
gtk-layer-shell 0.8.1-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.12.4-1
gtk2 2.24.33-3
gtk2fontsel 0.1-7
gtk3 1:3.24.38-1
gtk4 1:4.12.4-1
gtkd 3.10.0-10
gtkmm-4.0 4.12.0-1
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
gtksourceview5 5.10.0-1
gts 0.7.6.121130-2
guile 3.0.9-1
guile2.2 2.2.7-4
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
guvcview 2.0.8-3
guvcview-common 2.0.8-3
guvcview-qt 2.0.8-3
gv 3.7.4-5
gvfs 1.52.1-1
gvfs-afc 1.52.1-1
gvfs-goa 1.52.1-1
gvfs-google 1.52.1-1
gvfs-gphoto2 1.52.1-1
gvfs-mtp 1.52.1-1
gvfs-nfs 1.52.1-1
gvfs-smb 1.52.1-1
gvim 9.0.2112-1
gzip 1.13-2
hackrf 2023.01.1-1
handbrake 1.6.1-2
handbrake-cli 1.6.1-2
harfbuzz 8.3.0-1
harfbuzz-icu 8.3.0-1
haskell-adjunctions 4.4.2-69
haskell-aeson 2.1.2.1-22
haskell-ansi-terminal 0.11.4-44
haskell-ansi-wl-pprint 0.6.9-396
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-218
haskell-asn1-parse 0.9.5-218
haskell-asn1-types 0.3.4-197
haskell-assoc 1.0.2-216
haskell-async 2.2.4-187
haskell-attoparsec 0.14.4-63
haskell-attoparsec-aeson 2.1.0.0-6
haskell-attoparsec-iso8601 1.1.0.0-39
haskell-auto-update 0.1.6-320
haskell-aws 0.24-81
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-62
haskell-base-orphans 0.8.7-72
haskell-base16-bytestring 1.0.2.0-69
haskell-base64-bytestring 1.2.1.0-92
haskell-basement 0.0.16-1
haskell-bencode 0.6.1.1-189
haskell-bifunctors 5.6-27
haskell-binary-orphans 1.0.4.1-16
haskell-bitvec 1.1.3.0-69
haskell-blaze-builder 0.4.2.3-1
haskell-blaze-html 0.9.1.2-214
haskell-blaze-markup 0.8.2.8-120
haskell-bloomfilter 2.0.1.2-1
haskell-bsb-http-chunked 0.0.0.4-364
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-bytes 0.17.3-12
haskell-call-stack 0.4.0-162
haskell-case-insensitive 1.2.1.0-192
haskell-cassava 0.5.3.0-74
haskell-cereal 0.5.8.3-1
haskell-cipher-aes 0.2.11-314
haskell-clientsession 0.9.2.0-12
haskell-clock 0.8.3-112
haskell-code-page 0.2.1-5
haskell-colour 2.3.6-188
haskell-comonad 5.0.8-211
haskell-concurrent-output 1.10.18-12
haskell-conduit 1.3.5-22
haskell-conduit-extra 1.3.6-103
haskell-connection 0.3.1-237
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-cprng-aes 0.6.1-312
haskell-criterion 1.6.0.0-62
haskell-criterion-measurement 0.2.1.0-32
haskell-crypto-api 0.13.3-38
haskell-crypto-cipher-types 0.0.9-314
haskell-crypto-random 0.0.9-321
haskell-cryptohash-md5 0.11.101.0-90
haskell-cryptohash-sha1 0.11.101.0-72
haskell-crypton 0.33-4
haskell-crypton-connection 0.3.1-20
haskell-crypton-x509 1.7.6-15
haskell-crypton-x509-store 1.6.9-15
haskell-crypton-x509-system 1.6.7-15
haskell-crypton-x509-validation 1.6.12-15
haskell-cryptonite 0.30-61
haskell-cryptonite-conduit 0.2.2-599
haskell-css-text 0.1.3.0-273
haskell-data-array-byte 0.1.0.1-33
haskell-data-default 0.7.1.1-290
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-303
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-91
haskell-dav 1.3.4-614
haskell-dbus 1.2.22-193
haskell-dense-linear-algebra 0.1.0.0-270
haskell-disk-free-space 0.1.0.1-24
haskell-distributive 0.6.2.1-198
haskell-dlist 1.0-225
haskell-easy-file 0.2.5-10
haskell-edit-distance 0.2.2.1-196
haskell-email-validate 2.3.2.19-10
haskell-entropy 0.4.1.10-1
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.2-46
haskell-fdo-notify 0.3.1-705
haskell-feed 1.3.2.1-131
haskell-file-embed 0.0.15.0-1
haskell-filepath-bytestring 1.4.2.1.9-72
haskell-foldable1-classes-compat 0.1-27
haskell-free 5.1.10-45
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-git-lfs 1.2.1-17
haskell-glob 0.10.2-79
haskell-hashable 1.4.3.0-15
haskell-hinotify 0.4.1-160
haskell-hjsmin 0.2.0.4-214
haskell-hourglass 0.2.12-235
haskell-http-api-data 0.5.1-28
haskell-http-client 0.7.13.1-76
haskell-http-client-restricted 0.0.5-140
haskell-http-client-tls 0.3.6.3-23
haskell-http-conduit 2.3.8.3-6
haskell-http-date 0.0.11-125
haskell-http-types 0.12.3-321
haskell-http2 3.0.3-73
haskell-hunit 1.6.2.0-205
haskell-ifelse 0.85-26
haskell-indexed-traversable 0.1.3-19
haskell-indexed-traversable-instances 0.1.1.2-19
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.6.2-17
haskell-iproute 1.7.12-71
haskell-js-chart 2.9.4.1-6
haskell-kan-extensions 5.2.5-80
haskell-language-javascript 0.7.1.0-148
haskell-lens 5.2.3-16
haskell-libyaml 0.1.2-319
haskell-lift-type 0.1.1.1-1
haskell-lifted-base 0.2.3.12-256
haskell-linear 1.22-57
haskell-magic 1.1-24
haskell-math-functions 0.3.4.3-10
haskell-memory 0.17.0-57
haskell-microlens 0.4.13.1-1
haskell-microlens-mtl 0.2.0.3-1
haskell-microlens-th 0.4.3.14-2
haskell-microstache 1.0.2.3-43
haskell-mime-types 0.1.1.0-1
haskell-monad-control 1.0.3.1-91
haskell-monad-logger 0.3.40-27
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-147
haskell-mountpoints 1.0.2-24
haskell-mwc-random 0.15.0.2-98
haskell-network 3.1.4.0-9
haskell-network-bsd 2.8.1.0-199
haskell-network-byte-order 0.1.7-1
haskell-network-info 0.2.1-1
haskell-network-multicast 0.3.2-201
haskell-network-uri 2.6.4.2-19
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-64
haskell-only 0.1-22
haskell-optparse-applicative 0.17.1.0-3
haskell-parallel 3.2.2.0-17
haskell-path-pieces 0.2.1-30
haskell-pem 0.2.4-274
haskell-persistent 2.13.3.5-96
haskell-persistent-sqlite 2.13.1.0-103
haskell-primitive 0.7.4.0-89
haskell-profunctors 5.6.2-148
haskell-psqueues 0.2.7.3-71
haskell-quickcheck 2.14.3-34
haskell-random 1.2.1.1-135
haskell-recv 0.1.0-19
haskell-reflection 2.1.7-13
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2.2-19
haskell-resource-pool 0.2.3.2-285
haskell-resourcet 1.2.6-40
haskell-rio 0.1.22.0-89
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.4-10
haskell-safesemaphore 0.10.1-27
haskell-sandi 0.5-411
haskell-scientific 0.3.7.0-102
haskell-sdl2 2.5.5.0-30
haskell-sdl2-ttf 2.1.3-86
haskell-securemem 0.1.10-276
haskell-semialign 1.2.0.1-135
haskell-semigroupoids 5.3.7-117
haskell-setenv 0.1.1.3-25
haskell-shakespeare 2.1.0.1-17
haskell-silently 1.2.5.3-1
haskell-simple-sendfile 0.2.32-5
haskell-skein 1.0.9.4-51
haskell-socks 0.6.1-226
haskell-split 0.2.4-5
haskell-splitmix 0.1.0.4-154
haskell-statevar 1.2.2-2
haskell-statistics 0.16.2.1-6
haskell-stm-chans 3.0.0.9-1
haskell-streaming-commons 0.2.2.6-15
haskell-strict 0.4.0.1-190
haskell-syb 0.7.2.3-19
haskell-tagged 0.8.8-1
haskell-tagsoup 0.14.8-215
haskell-tasty 1.4.3-48
haskell-tasty-hunit 0.10.1-9
haskell-tasty-quickcheck 0.10.2-307
haskell-tasty-rerun 1.1.19-6
haskell-terminal-size 0.3.4-1
haskell-text-short 0.1.5-68
haskell-th-abstraction 0.4.5.0-1
haskell-th-compat 0.1.4-32
haskell-th-lift 0.8.4-1
haskell-th-lift-instances 0.1.20-36
haskell-these 1.1.1.1-217
haskell-time-compat 1.9.6.1-86
haskell-time-locale-compat 0.1.1.5-17
haskell-time-manager 0.0.1-15
haskell-tls 1.8.0-13
haskell-tls-session-manager 0.0.4-350
haskell-torrent 10000.1.3-13
haskell-transformers-base 0.4.6-91
haskell-transformers-compat 0.7.2-1
haskell-typed-process 0.2.11.1-3
haskell-unix-compat 0.7-19
haskell-unix-time 0.4.11-8
haskell-unliftio 0.2.24.0-14
haskell-unliftio-core 0.2.1.0-1
haskell-unordered-containers 0.2.19.1-82
haskell-utf8-string 1.0.2-139
haskell-uuid 1.3.15-117
haskell-uuid-types 1.0.5.1-5
haskell-vault 0.3.1.5-161
haskell-vector 0.13.1.0-5
haskell-vector-algorithms 0.9.0.1-69
haskell-vector-binary-instances 0.2.5.2-107
haskell-vector-stream 0.1.0.0-1
haskell-vector-th-unbox 0.2.2-216
haskell-void 0.7.3-192
haskell-wai 3.2.3-211
haskell-wai-app-static 3.1.8-24
haskell-wai-extra 3.1.13.0-192
haskell-wai-logger 2.4.0-343
haskell-warp 3.3.30-12
haskell-warp-tls 3.4.3-14
haskell-witherable 0.4.2-76
haskell-word8 0.1.3-22
haskell-x509 1.7.7-47
haskell-x509-store 1.6.9-60
haskell-x509-system 1.6.7-63
haskell-x509-validation 1.6.12-65
haskell-xml-conduit 1.9.1.3-21
haskell-xml-hamlet 0.5.0.2-162
haskell-xml-types 0.3.8-8
haskell-xss-sanitize 0.3.7.2-12
haskell-yaml 0.11.11.2-17
haskell-yesod 1.6.2.1-153
haskell-yesod-core 1.6.24.5-8
haskell-yesod-form 1.7.6-30
haskell-yesod-persistent 1.6.0.8-218
haskell-yesod-static 1.6.1.0-664
haskell-zlib 0.6.3.0-49
hddtemp 0.3.beta15.53-3
hdf5-openmpi 1.14.3-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hiredis 1.2.0-2
hivex 1.3.23-2
htop 3.2.2-1
http-parser 2.9.4-1
hunspell 1.7.2-1
hwdata 0.376-1
hwloc 2.9.1-1
hyphen 2.8.8-5
hyprpaper 0.4.0-1
i2c-tools 4.3-4
iana-etc 20231018-1
ibus 1.5.28-4
icu 73.2-2
igraph 0.10.8-1
igsc 0.8.9-2
ijs 0.35-5
imagemagick 7.1.1.21-1
imath 3.1.9-2
img2pdf 0.5.0-1
iml 1.0.5-3
imlib2 1.12.1-1
inetutils 2.4-2
iniparser 4.1-4
inkscape 1.3-4
intel-gmmlib 22.3.12-1
intel-gpu-tools 1.27-2
intel-media-driver 23.3.5-1
intel-media-sdk 23.2.2-2
intel-metee 3.2.4-1
intel-oneapi-common 2023.2.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime 2023.2.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2023.2.0-1
intel-oneapi-compiler-shared-runtime 2023.2.0-1
intel-oneapi-compiler-shared-runtime-libs 2023.2.0-1
intel-oneapi-mkl 2023.2.0_49495-2
intel-oneapi-openmp 2023.2.0-1
intel-oneapi-tbb 2021.10.0-3
intel-ucode 20231114-1
inter-font 3.19-3
iotop 0.6-10
iproute2 6.6.0-2
iptables-nft 1:1.8.9-1
iputils 20221126-2
ipython 8.17.2-1
ir.lv2 1.3.4-3
irssi 1.4.5-1
iso-codes 4.15.0-1
isomd5sum 1.2.3-8
jansson 2.14-2
jasper 4.0.0-1
java-avalon-framework 4.2.0-9
java-commons-io 2.14.0-1
java-commons-lang 3.13.0-1
java-commons-logging 1.2-3
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jq 1.7-1
jre8-openjdk 8.392.u08-1
jre8-openjdk-headless 8.392.u08-1
js102 102.15.0-1
js115 115.4.0-2
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jxrlib 0.2.4-2
karchive5 5.112.0-1
kauth5 5.112.0-1
kbd 2.6.3-1
kbookmarks5 5.112.0-1
kcodecs5 5.112.0-1
kcompletion5 5.112.0-1
kconfig5 5.112.0-1
kconfigwidgets5 5.112.0-1
kcoreaddons5 5.112.0-1
kcrash5 5.112.0-1
kdbusaddons5 5.112.0-1
kded5 5.112.0-1
keyutils 1.6.3-2
kglobalaccel5 5.112.0-1
kguiaddons5 5.112.0-1
ki18n5 5.112.0-1
kicad 7.0.9-2
kiconthemes5 5.112.0-1
kio5 5.112.0-1
kirigami2 5.112.0-1
kitemviews5 5.112.0-1
kjobwidgets5 5.112.0-1
kmod 31-1
knotifications5 5.112.0-1
krb5 1.20.1-2
kservice5 5.112.0-1
ktextwidgets5 5.112.0-1
kwallet5 5.112.0-1
kwidgetsaddons5 5.112.0-1
kwindowsystem5 5.112.0-1
kxmlgui5 5.112.0-1
l-smash 2.14.5-3
ladspa 1.17-4
lame 3.100-4
lapack 3.11.0-3
lcalc 2.0.5-2
lcms2 2.15-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lensfun 1:0.3.4-3
leptonica 1.83.1-1
less 1:643-1
level-zero-loader 1.11.0-1
lhapdf 6.5.4-1
lhasa 0.3.1-3
lib2geom 1.3-1
lib32-acl 2.3.1-2
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-3
lib32-dbus 1.14.10-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-fontconfig 2:2.14.2-1
lib32-freetype2 2.13.2-1
lib32-gcc-libs 13.2.1-3
lib32-gettext 0.22.3-1
lib32-glib2 2.78.1-1
lib32-glibc 2.38-7
lib32-harfbuzz 8.3.0-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libcap 2.69-1
lib32-libffi 3.4.4-1
